ID Contratos que utilizan banca movil,ID Sucursales banca comercial,ID Terminales punto de venta,ID Establecimientos con TPV,Cable coaxial,DSL,Creditos bienestar,c,estado,municipio
3591.431842,2.13348546,87.27895062,75.05989754,5090,2901,54,2,Nuevo León,Montemorelos
3593.358611,1.502240222,72.10753066,64.59632955,0,1850,8,2,Morelos,Jantetelco
3594.098327,1.285289663,40.70083932,27.4195128,0,0,14,0,Colima,Cuauhtémoc
3597.751567,1.155347324,23.49206225,21.18136761,0,0,25,0,Durango,Canatlán
3598.200971,1.65701173,38.52552272,36.45425805,0,2800,57,0,Guerrero,Arcelia
3606.503829,0.245909166,37.13228407,31.23046409,4244,2584,93,3,Veracruz,Coatzintla
3608.944556,1.052060467,72.35396986,44.44459219,52661,45074,3595,2,Jalisco,Tlaquepaque
3616.74254,1.061769999,37.5158733,32.2070233,0,2140,1,0,Chihuahua,Saucillo
3617.963129,0.557954526,25.29393849,22.13219618,1631,1860,4381,2,Chiapas,Ocozocoautla de Espinosa
3625.982276,0.625816755,27.84884558,28.47466233,2041,3519,42,2,México,Coyotepec
3626.780734,0,24.25039124,24.25039124,0,344,47,3,México,Papalotla
3633.072671,0,32.77138967,21.84759311,0,388,18,3,Hidalgo,Tolcayuca
3635.265119,0,58.20005732,49.24620235,0,240,0,3,Sonora,Aconchi
3637.702171,0.877294627,17.54589254,15.79130329,0,0,48,0,Tlaxcala,Papalotla de Xicohténcatl
3642.262368,0.923416471,51.4035169,34.78202042,0,0,21,0,Veracruz,Río Blanco
3643.657926,1.330549243,70.41675993,50.97027099,0,0,87,0,Tamaulipas,"Mante, El"
3644.709019,1.096153088,170.4518053,129.894141,0,6689,2,2,Baja California Sur,Loreto
3646.382903,0,13.84702368,12.3084655,0,832,16,3,Morelos,Tetecala
3649.552926,0.665248437,76.50357027,71.18158277,0,2396,38,2,Morelos,Huitzilac
3660.043848,1.561896379,86.12123091,63.08325931,29008,16897,3880,2,Nuevo León,Santa Catarina
3668.332963,0,37.45689596,33.38549422,0,1881,13,3,Morelos,Jonacatepec
3669.49554,0,6.506197765,6.506197765,0,31,0,3,Coahuila,Lamadrid
3669.691632,1.238616919,107.0165018,30.13967835,0,0,807,2,Jalisco,"Salto, El"
3672.510666,0.643826794,61.93000589,68.21498174,25933,22008,8528,2,Ciudad de México,Xochimilco
